english,spanish
Screen sharing,Compartir pantalla 
Remote desktop,Escritorio remoto
Online meeting,Reunión en línea
Graphic design ,Diseño gráfico
Software development,Desarrollo de software
Meeting link ,Enlace de reunión
Work from home ,Trabajar desde casa 
Remote work,Trabajo remoto
Online storage,Almacenamiento en linea
Instant message ,Mensaje instantáneo
Meeting room ,Sala de reuniones
Online password ,Contraseña en línea
Collaboration tools,Herramientas de colaboración
Independent contractor,Trabajador independiente 
Desk monitor,Monitor de escritorio
Virtual private network ,Red privada virtual 
Screen ,Pantalla 
Computer ,Computadora 
Right click ,Clic derecho
Left click,Clic izquierdo 
The sound got cut off,El sonido se cortó
The screen froze ,La pantalla se congeló
Unmute,Activar el sonido
Mute,Poner en silencio 
Virtual calendar,Calendario virtual
Send invite,Enviar invitación
Attach link,Adjuntar enlace
Standing desk ,Escritorio de pie
Virtual assistant ,Asistente virtual 
Happy hour ,Hora feliz
Computer display,Monitor de computadora 
Font size ,Tamaño de fuente
Font color ,Color de fuente
Icon ,ícono
Keyboard shortcuts,Atajos de teclado
Back end development ,Desarrollo de back-end
Front end development ,Desarrollo del interfaz del usuario
Browser ,Navegador
Website bug,Error del sitio web
User interface,Interfaz de usuario
Navigation,Navegación
Presentation,Presentación
Connection,Conexión
Slow connection ,Conexión lenta
Wireless network,Red inalámbrica
Laptop ,Ordenador portátil
Electronic signature,Firma electrónica
Contract ,Contrato
Terms of use,Condiciones de uso
Asynchronous communication ,Comunicación Asíncrona
Website,Sitio web 
Template,Plantilla
Powerpoint slides ,Diapositivas de powerpoint
Comments,Comentarios 
Feedback,Crítica 
Please repeat,Por favor repitalo
Play,Iniciar
Pause ,Pausar
Schedule,Horario 
Manage email accounts ,Administrar cuentas de correo electrónico
Travel arrangements,Arreglos de viaje
Schedule appointments ,Programar citas
Make phone calls,Hacer llamadas telefónicas
Marketing services ,Servicios de marketing
Blog writing ,Escribir un blog 
High-speed internet service,Servicio de Internet de alta velocidad
Duties ,Deberes 
Clerical tasks ,Tareas clericales
Data entry ,Entrada de datos 
Online file storage,Almacenamiento de archivos en línea
Certification,Certificación
Computer skills,Habilidades computacionales
Page layout,Diseño de página
Advertisements,Anuncios
Graphics,Gráficos
Logos ,Logos
Banner ads,Publicidad
Social media posts,Publicaciones en redes sociales
Visual graphics,Gráficos visuales
Infographics,Infografias
Budget constraints,Limitaciones presupuestarias
Time zone ,Zona horaria
Reschedule,Reprogramar
Postpone,Posponer 
Question,Pregunta
Record meeting ,Grabar la reunión
Virtual waiting room ,Sala de espera virtual
Meeting host,Anfitrión(a) de la reunión
Settings,Configuración
Raise volume,Subir el volumen 
Lower volume ,Bajar el volumen 
Multiple screens ,Varias pantallas
Images,Imagenes
Design style,Estilo de diseño
In progress,En curso
Report,Reporte 
Progress report,Informe de progreso
Enlarge text ,Agrandar el texto
Keyboard,Teclado
Notification,Notificación
Schedule a call,Agendar una llamada
Cybersecurity,La seguridad cibernética
Authorized user ,Usuario(a) autorizado(a)
Virtual hangout,Lugar de reunión virtual
Home office ,Oficina en casa
Management,Gestión
Software download ,Descarga de software
Scan,Escanear 
Collaboration ,Colaboración
Information technology (IT),Tecnología de la Información (TI)
Videoconferencing,Videoconferencia
Network access,Acceso a la red
Remote login,Ingreso remoto
Project management,Gestión de proyectos
Data processing,Procesamiento de datos
Business documents,Documentos empresariales
Translate,Traducir 
Transcribe,Transcribir
Tablet,Tableta
Fax number,Número de fax
Log-in,Acceso
Log-out,Cerrar sesión
Graphs and charts,Gráficos y tablas
Download,Descargar
Earphones,Audífonos
Timeline of project,Cronograma del proyecto
Virtual training,Entrenamiento virtual
Schedule a meeting ,Agendar una reunión
Start on time ,Empezar a tiempo
Running late,Llegando tarde
Mouse,Ratón
Touch screen ,Pantalla táctil
Design samples,Muestras de diseño
Timesheet,Planilla horaria
Execution of projects,Ejecución de proyectos
Finalized document,Documento finalizado
Sketch,Bosquejo
Conference,Conferencia
Confidentiality,Confidencialidad
Error,Error
Online payment,Pago en línea
Billing,Facturación
Analytics,Analítica
Estimate,Estimación
Offered services ,Servicios ofrecidos 
Services out of reach,Servicios fuera de alcanze
Experience,Experiencia
Assigned task ,Tarea asignada
On hold,En espera
Temporary,Provisional
Accessibility,Accesibilidad
Account settings,Configuración de la cuenta
Active Speaker,Participante Activo
Adjust,Configurar/Ajustar(tamaño)
Advanced Features,Funciones avanzadas/Características avanzadas
Advanced Search Interface,Interfaz de búsqueda avanzada
Annotate,Anotar
Annotation,Anotación
Answer live,Responder en directo
Apps,Aplicaciones
Audio,Audio
Autocorrect,Autocorrección
Auto-fill,Autocompletar
Autofit,Autoajustar/ajuste automático
Background,Fondo de pantalla
Background noise,Ruido ambiental
Bullets,viñetas
Calendar,Calendario
Camera,Cámara
Chat,Chat
Check your internet connection,Revise su conexión de internet
Click here,Presione aquí/Haga 'click' aquí
