English,EN Definition,Spanish,ES Definition,https://www.saccourt.ca.gov/general/legal-glossaries/docs/spanish-legal-glossary.pdf
1203.03 PC MOTION,"Request to cancel, modify, change or terminate probation.",MOCIÓN CP 1203.03,"Solicitud para cancelar, modificar, cambiar o terminar la libertad condicional.",
1203.4 PC MOTION,"Request to take back guilty plea or set aside a guilty verdict, and dismiss the accusations or information. (Made after probation has either terminated or defendant was discharged from probation prior to termination.)",MOCIÓN CP 1203.4,"Solicitud para retractar un alegato de culpabilidad o revocar un veredicto de culpabilidad, y rechazar las acusaciones o la información. (Hecho después de que la libertad condicional ha sido terminada o la libertad condicional ha sido anulada previo a su conclusión)",
170.6 PC MOTION,Request to disqualify the assigned judge from hearing a matter.,MOCIÓN CP 170.6,Solicitud para descalificar al juez asignado para conocer un caso.,
995 PC MOTION,Request made by a defendant to dismiss a count of information.,MOCIÓN CP 995,Solicitud hecha por el acusado para revocar cargos en su contra.,
ABANDONMENT,"When a parent leaves a child without enough care, supervision, support, or parental contact for an excessive period of time.",ABANDONO,"Cuando un padre deja a un hijo sin suficiente cuidado, supervisión, o contacto paternal por un periodo excesivo de tiempo.",
ABATE,To put an end to; to cancel out.,CESAR,Finalizar; cancelar.,
ABATEMENT OF ACTION,A suit which has been set aside and ended.,CESACIÓN DE ACCIÓN,"Un pleito que ha sido anulado, concluido o terminado.",
ABDUCTION,"The offense of taking away a wife, child, or ward, by deceitful persuasion, force, or violence.",SECUESTRO,"El delito de llevarse a una esposa, hijo, o pupilo, por engaño persuasivo, a la fuerza o con violencia.",
ABROGATE,To repeal or cancel an old law using another law or constitutional power.,ABROGAR,Revocar o cancelar una ley antigua usando otra ley o poder constitucional.,
ABSTRACT,"A summary of what a court or government agency does. In Traffic, document that is sent to the Department of Motor Vehicles (DMV) to update driving record.",RESUMEN,Un sumario de lo que hace un tribunal o agencia.  En Tráfico: un documento que es enviado al Departamento de Vehículos (DMV) para poner al día el expediente de manejo de la persona.,
ABSTRACT OF JUDGEMENT,Summary of the court's final decision. Can be used as a lien if you file it with the county recorder.,RESUMEN DE JUICIO O FALLO,Sumario de la decisión final del tribunal. Puede ser usado como un gravamen si es archivado con el registro  del condado.,
ABSTRACT OF RECORD,Short form of the case.,SINOPSIS DE REGISTRO,Versión breve del caso.,
ABUSE,"(1) immoderate or improper use; (2) to do physical, sexual, or psychological harm to someone.",ABUSO,"(1) Excesivo o inapropiado uso; (2) hacerle daño física, sexual o psicológicamente a alguien.",
ABUSE OF PROCESS,Misuse of the power of the court.,ABUSO DEL PROCESO,Abuso del poder del tribunal.,
ACCESSORY,"A person who helps someone else commit a crime, either before or after the crime.",ACCESORIO,"Una persona que ayuda a alguien cometer un delito, antes o después del delito.",
ACCIDENT & MISFORTUNE,an unintentional event; unforeseen event causing misfortune.,ACCIDENTE Y DESGRACIA,un evento involuntario; un evento inprevisto que causa desgracias.,
ACCOMPLICE,A person that helps someone else commit a crime. Can be on purpose or not.,CÓMPLICE,Una persona que ayuda a alguien a cometer un delito. Puede ser intencionalmente o no.,
ACCORD,"A satisfaction agreed upon between the parties in a lawsuit, which prevents further actions after the claim.",ACUERDO,"Un acuerdo satisfactorio para las partes en un juicio, lo que impide tomar medidas adicionales después de la demanda.",
